location_id;count;location;category;lat;lon;region
l491;1;Deal;calls;51.22316;1.4028;british_isles
l2179;1;Applecross;people_birth;57.43304;-5.80958;british_isles
l2185;1;Alphington;people_birth;50.42;-3.32;british_isles
l2268;1;Carlton;persons_birth;54.59004;-1.39117;british_isles
l2190;1;Leuchars;persons_birth;56.38174;-2.88253;british_isles
l2147;1;Clackmannan;persons_birth;56.10743;-3.75098;british_isles
l2267;1;Lichfield;persons_birth;52.68154;-1.82549;british_isles
l2269;1;Plumstead;persons_birth;51.48333;0.08333;british_isles
l2385;1;Bowdon;persons_birth;53.37644;-2.36532;british_isles
l2389;1;Denny;persons_birth;56.0235;-3.90812;british_isles
l2392;1;Hedon;persons_birth;53.73962;-0.19655;british_isles
l2393;1;Hedon-in-Holderness;persons_birth;53.7395;-0.1948;british_isles
l2396;1;Dailly;persons_birth;55.276;-4.724;british_isles
l2397;1;Cathcart;people_birth;55.8195;-4.2679;british_isles
l2399;1;Pakefield;persons_birth;52.451;1.728;british_isles
l2404;1;Hailsham;persons_birth;50.8622;0.25775;british_isles
l2405;1;Bathford;persons_birth;51.4002;-2.30161;british_isles
l2384;1;Lowestoft;persons_birth;52.47523;1.75167;british_isles
l2382;1;Kennington;persons_birth;51.48796;-0.10566;british_isles
l2381;1;Avening;persons_birth;51.6801;-2.16903;british_isles
l2363;1;Vellore;persons_birth;12.9184;79.13255;madras_presidency
l2375;1;Stoke;persons_birth;53.25;-2.86667;british_isles
l2456;1;Shrewsbury;persons_birth;52.71009;-2.75208;british_isles
l2380;1;Woodford;persons_birth;51.11667;-1.83333;british_isles
l2440;1;Preston;persons_birth;52.61264;-0.71437;british_isles
l2;1;Bengal;calls;21.3623;88.0932;bengal_presidency
l2443;1;Rodborough;people_birth;51.744;-2.215;british_isles
l2446;1;St Petersburg;persons_birth;59.93863;30.31413;indian_ocean
l2449;1;Wellington;persons_birth;52.7;-2.51667;british_isles
l2450;1;Ide;persons_birth;34.79965;135.81247;indian_ocean
l2431;1;Verdun;persons_birth;49.15964;5.3829;atlantic
l2413;1;St Columb;persons_birth;50.43163;-4.94336;british_isles
l2414;1;Alrewas;persons_birth;52.73278;-1.74968;british_isles
l719;1;Belfast;calls;54.59682;-5.92541;british_isles
l2416;1;Newcastle;persons_birth;53.30111;-6.50222;british_isles
l2417;1;Sidmouth;persons_birth;50.69094;-3.2397;british_isles
l2424;1;Wareham;persons_birth;50.68792;-2.11058;british_isles
l2425;1;Philadelphia;persons_birth;39.95238;-75.16362;atlantic
l2429;1;Galashiels;persons_birth;55.61458;-2.80695;british_isles
l2361;1;Fifeshire;persons_birth;56.15;-3.12;british_isles
l2360;1;Teddington;persons_birth;51.42233;-0.33053;british_isles
l2292;1;Ratho;persons_birth;55.92164;-3.38028;british_isles
l2301;1;Epsom;persons_birth;51.3305;-0.27011;british_isles
l2304;1;Witton-le-Wear;persons_birth;54.6767;-1.773;british_isles
l2311;1;Kirkcudbright;persons_birth;54.8383;-4.04908;british_isles
l2293;1;Carlisle;persons_birth;54.8951;-2.9382;british_isles
l2271;1;Ballyshannon;persons_birth;54.5;-8.18333;british_isles
l2272;1;Whitburn;persons_birth;55.86667;-3.68333;british_isles
l2275;1;Leeds;persons_birth;53.79648;-1.54785;british_isles
l923;1;New York;calls;42.55779;-88.86511;atlantic
l2280;1;Kirkliston;persons_birth;55.95364;-3.40288;british_isles
l2281;1;Falkirk;persons_birth;56.0021;-3.78535;british_isles
l2288;1;Haverfordwest;persons_birth;51.80169;-4.96914;british_isles
l2313;1;Durham;persons_birth;54.77676;-1.57566;british_isles
l2345;1;Blackrock;persons_birth;53.96405;-6.36514;british_isles
l2350;1;Cumbernauld;persons_birth;55.94685;-3.99051;british_isles
l2353;1;Polmont;persons_birth;55.9905;-3.70737;british_isles
l2354;1;Packington;persons_birth;52.728;-1.466;british_isles
l2356;1;Ewell;persons_birth;51.34948;-0.2494;british_isles
l2460;1;Alnwick;persons_birth;55.41318;-1.70563;british_isles
l2321;1;Linlithgow;persons_birth;55.97639;-3.60364;british_isles
l2322;1;Witheridge;persons_birth;50.91743;-3.70351;british_isles
l2065;1;Tilbury Fort;persons_birth;51.46248;0.35856;british_isles
l2097;1;Richmond;persons_birth;51.46171;-0.30633;british_isles
l1811;1;Nantwich;persons_birth;53.06878;-2.52051;british_isles
l1813;1;Campsie;persons_birth;-33.9125;151.10279;indian_ocean
l1819;1;Monmouth;persons_birth;51.81265;-2.71363;british_isles
