ship_id,name,info,voyage_1,voyage_2,voyage_3,voyage_4
0,LADY BURGES,"[""Built by Perry, launched 1799, 3 decks, 4in bottom, length 146ft lin, keel 118ft7in, breadth 36ft lin, hold 14ft 9in, wing transom 23ft 5in, port cell 26ft 9in, waist 1ft 6in, between decks 6ft 2in & 6ft 4in, roundhouse 6ft 5'Ain, ports 13 middle & 11 upper, deck range 83ft 9in, 821 tons""]","{'time': ['1799', '171800'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/310A Journal 24 Dec 1799-4 Sep 1801', 'L/MAR/B/310D(1) Ledger', 'L/MAR/B/310D(2) Pay Book'], 'captain': 'Archibald Francis William Swinton', 'itinerary': 'Portsmouth 17 Mar 1800 - 13 Jul Madras - 29 Aug Diamond Harbour - 24 Oct Kedgeree - 8 Jan 1801 Saugor - 21 May St Helena - 24 Jul Cork -11 Aug Downs'}","{'time': ['1801', '1802'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/310B Journal 4 Dec 1801-24 Sep 1803', 'L/MAR/B/310E(1) Ledger', 'L/MAR/B/310E(2) Pay Book'], 'captain': 'Archibald Francis William Swinton', 'itinerary': 'Portsmouth 1 Mar 1802 - 13 Mar Madeira - 4 Jul Madras -17 Jul Diamond Harbour - 3 Jan 1803 Saugor -16 Jun St Helena - 20 Aug Downs'}","{'time': ['1803', '1804'], 'destination': 'St Helena and Bengal', 'reference': ['L/MAR/B/310C Journal 14 Jan 1804-26 Oct 1805', 'L/MAR/B/310F(1) Ledger', 'L/MAR/B/310F(2) Pay Book'], 'captain': 'Archibald Francis William Swinton', 'itinerary': 'Portsmouth 8 May 1804 - 6 Aug St Helena - 25 Nov Kedgeree - 4 Feb 1805 Saugor - 29 Jun St Helena -10 Sep Downs'}","{'time': ['1805', '1806'], 'destination': 'Madras and Bengal', 'reference': ['L/MAR/B/310G Imprest Book'], 'captain': 'Betham', 'itinerary': 'Portsmouth 30 Mar 1806 - wrecked 20 Apr on Leytons Rock, south-west of Bonavista island'}"
1,LADY CAMPBELL,"['Built in Bengal, launched 1801, 2 decks, 4in bottom, length 138ft, keel 111ft llin, breadth 33ft lOin, hold 18ft, wing transom 23ft lin, port cell 29ft 3in, waist 1ft 3in, between decks 6ft 7in, roundhouse 6ft 6in, ports 11 upper, 681 tons', 'Principal Managing Owners. 1-2 John limes, 3 ', '']","{'time': ['1815', '1816'], 'destination': 'Bengal', 'reference': ['L/MAR/B/214A Journal 14 Mar 1816-15 Sep 1817', 'L/MAR/B/214C(1) Ledger', 'L/MAR/B/214C(2) Pay Book'], 'captain': 'Thomas Marquis', 'itinerary': 'Downs 15 May 1816 - 30 May Madeira - 20 Sep Kedgeree -10 Oct Calcutta - 26 Jan 1817 Saugor - 28 Feb Vizagapatam - 6 Mar Madras -13 Jun St Helena -12 Aug Downs'}","{'time': ['1819', '1820'], 'destination': 'China', 'reference': ['L/MAR/B/214B Journal 29 Feb 1820-25 Jun 1821', 'L/MAR/B/214D(1) Ledger', 'L/MAR/B/214D(2) Pay Book'], 'captain': 'Thomas Marquis', 'itinerary': 'Downs 25 Apr 1820 - 29 Aug Whampoa - 25 Dec Second Bar -10 Mar 1821 Cape -31 Mar St Helena - 26 May Downs'}",,
