name;info;voyage_1;voyage_2;voyage_3;voyage_4
ZANT;['Frigate, 180 tons, owned by Thomas Lucas'];{'time': ['1664', '1665'], 'destination': 'St Helena', 'reference': [], 'captain': 'Aaron Wallis'};{'time': ['1667', '1668'], 'destination': 'Sumatra', 'reference': [], 'captain': [], 'itinerary': 'Capt Thomas Lucas Apr 1668 - 28 May 1669 Downs'};{'time': ['1669', '1670'], 'destination': 'Madras and Bengal', 'reference': [], 'captain': 'Andrew Parrick Downs 10 Nov 1669 -27 Jun 1671 Downs'};{'time': ['1671', '1672'], 'destination': 'Bantam and Tonkin', 'reference': [], 'captain': [], 'itinerary': 'Sold to the Sultan of Bantam - wrecked off Socotra'}
ZENOBIA;['Chartered ship, 588 tons', 'Principal Managing Owner: Joseph Douglas', ''];{'time': ['1828', '1829'], 'destination': 'Bengal and Madras', 'reference': ['L/MAR/B/157A Deck Log 18 May 1829-26 Jun 1830'], 'captain': 'Allan Cameron', 'itinerary': 'Portsmouth 9 Jul 1829 - 20 Oct Point de Galle -10 Nov Calcutta 1 Jan 1830 - 28 Jan Madras - 18 Apr St Helena - 12 Jun Downs'};;;
