id;name;lat;lon
l29;Calicut;11.24802;75.7804
l30;Tellicherry;11.74811;75.4929
l31;Karwar;14.81361;74.12972
l32;Mangalore;12.91723;74.85603
l33;Surat;21.19594;72.83023
l35;Balasore;21.49266;86.93348
l37;Benkulen;-3.80044;102.26554
l46;Cochin;9.93988;76.26022
l48;Nore;45.24159;7.56983
l58;Diamond Harbour;22.19101;88.19047
l62;Cavite;15.67785;120.76978
l65;Sulu;6.05222;121.00222
l68;Rio de Janeiro;-22.90642;-43.18223
l70;Gravesend;51.44206;0.37106
l74;Scarborough;54.27966;-0.40443
l75;Erith;51.48315;0.17484
l78;Vizagapatam;17.68009;83.20161
l80;Bandar Abbas;27.1865;56.2808
l85;Plymouth;50.37153;-4.14305
l88;Pattani;6.86814;101.25009
l89;Hirado;33.36853;129.55247
l91;Masulipatam;16.18747;81.13888
l95;Trincomalee;8.5778;81.2289
l97;Woolwich;51.491;0.0648
l98;Quilon;8.88113;76.58469
l99;Ganjam;19.38705;85.05079
l106;Blackwall;51.50971;-0.0016
l107;Penang;5.41123;100.33543
l113;Cape Coast Castle;5.10535;-1.2466
l114;Accra;5.55602;-0.1969
l115;Ouidah;6.36307;2.08506
l118;Funchal;32.66568;-16.92547
l125;Amboina;-3.69583;128.18333
l129;Lisbon;38.71667;-9.13333
l131;Cork;51.89797;-8.47061
l132;Cadiz;36.52672;-6.2891
l140;Faro;37.01869;-7.92716
l144;Yarmouth;50.70529;-1.49929
l145;Quebec;46.81228;-71.21454
l147;Halifax;53.71667;-1.85
l164;Malabar;-33.96216;151.24796
l165;Dabhol;17.58971;73.18001
l166;Jambi;-1.6;103.61667
l170;Kinsale;51.7075;-8.53056
l184;Linton;51.92529;-2.49669
l192;Canaries;13.90224;-61.06459
l198;Maio;15.13823;-23.21158
l201;Pemba;-12.97395;40.51775
l203;Aden;12.77944;45.03667
l212;Qishm;26.9492;56.2691
l213;Padang;-0.94924;100.35427
l216;Mahe;11.70172;75.53474
l221;Hong Kong;22.27832;114.17469
l223;Santa Cruz;15.30815;120.85318
l226;Waterford;52.25833;-7.11194
l249;Marga;45.5;22.51667
l250;Mozambique;-15.03466;40.73447
l253;Galway;53.27245;-9.05095
l267;Jeddah;21.49012;39.18624
l269;Jask;25.64533;57.77552
l276;Reach;43.91064;-69.8206
l277;Pondicherry;11.93381;79.82979
l279;Cannanore;11.86752;75.35763
l292;Negapatam;10.76377;79.84313
l295;Muscat;23.58413;58.40778
l298;Tranquebar;11.02764;79.85425
l325;Portland;50.56748;-2.44472
l328;Benguela;-12.57626;13.40547
l333;Manna;-4.4651;102.90386
l339;Ipoh;4.5841;101.0829
l340;Laye;12.53118;-1.77684
l349;St Lucia;-28.37622;32.41181
l350;St Pierre;46.77914;-56.1773
l357;Cowes;50.76252;-1.29781
l362;Sing;14.88786;100.40464
l363;moon;58.60194;23.24694
l373;Basra;30.50852;47.7804
l379;Tilbury;51.46248;0.35856
l390;Amoy;24.47979;118.08187
l395;Semarang;-6.99306;110.42083
l409;Port Louis;-20.16194;57.49889
l411;Pulo Condore;8.68641;106.60824
l421;Cuddalore;11.75617;79.76693
l423;Palembang;-2.91673;104.7458
l426;Tuticorin;8.76735;78.13425
l443;Jakarta;-6.21462;106.84513
l466;Rangoon;16.80528;96.15611
l467;Jiddah;21.49012;39.18624
l476;Buton;-5.4633;122.6024
l477;Dartmouth;50.3522;-3.5794
l492;Gibraltar;36.14474;-5.35257
l497;Deal;51.22316;1.4028
l502;Macassar;-5.14861;119.43194
l503;Sukadana;-5.06446;105.54869
l505;Thames;-37.13832;175.54011
l509;Howrah;-42.88728;147.40554
l524;Diamond Creek;-37.66667;145.15
l541;Limerick;52.66472;-8.62306
l543;Milford Haven;51.71278;-5.0341
l566;Rajapur;16.65679;73.51701
l567;Sura;53.88786;45.74192
l572;Diu;20.71405;70.98224
l585;Madura;9.919;78.11953
l596;Matavai;-14.03208;-171.64768
l597;Tonga;4.96667;10.7
l641;Shannon;52.70389;-8.86417
l677;Banjarmasin;-3.31987;114.59075
l679;Pernambuco;-8.05389;-34.88111
