id;name_code;name;lat;lon
584;bonavista;Bonavista;48.64989;-53.11474
608;londonderry;Londonderry;43.22646;-72.80649
620;shannon;Shannon;46.88026;-71.51464
645;eddystone;Eddystone;39.86011;-75.34436
655;banjarmasin;Banjarmasin;-3.31987;114.59075
657;pernambuco;Pernambuco;-8.05389;-34.88111
665;liverpool;Liverpool;-33.91938;150.92588
680;bushire;Bushire;28.96887;50.83657
681;bar;Bar;49.07362;27.67404
707;belfast;Belfast;46.08341;-62.88197
715;samarang;Samarang;-6.99306;110.42083
722;clyde;Clyde;41.30422;-82.97519
727;london;London;42.98339;-81.23304
730;ganges;Ganges;43.93419;3.70797
733;bangkok;Bangkok;13.75398;100.50144
734;ayutthaya;Ayutthaya;14.35167;100.57739
752;bristol;Bristol;30.43247;-84.97702
758;long beach;Long Beach;33.91045;-78.11777
767;malaca;Malaca;36.72016;-4.42034
775;poole;Poole;50.71429;-1.98458
776;benguella;Benguella;-12.57626;13.40547
778;quang nam;Quang Nam;15.88853;108.25447
798;jim;Jim;7.67344;36.83441
823;sydney;Sydney;46.1351;-60.1831
844;sohar;Sohar;24.34745;56.70937
846;japara;Japara;-6.5924;110.671
850;sind;Sind;46.58333;23.71667
854;helena;Helena;36.54614;-98.27007
867;dublin;Dublin;40.09923;-83.11408
870;bassein;Bassein;16.77919;94.73212
889;anger;Anger;47.27422;15.69139
896;labrador;Labrador;16.02812;120.14424
902;brazil;Brazil;39.52365;-87.12502
907;hobart;Hobart;44.49925;-88.14986
910;new york;New York;42.55779;-88.86511
911;hamburg;Hamburg;42.71589;-78.82948
925;amboyna;Amboyna;-3.69583;128.18333
938;cascais;Cascais;38.69681;-9.42147
991;makassar;Makassar;-5.14861;119.43194
996;johore;Johore;1.4655;103.7578
1017;boeton;Boeton;-5.4633;122.6024
1026;st croix;St Croix;17.72751;-64.74698
1032;luanda;Luanda;0.31354;34.07146
1036;dover;Dover;40.52062;-81.47401
1049;sao thome;Sao Thome;0.33654;6.72732
1050;bandar;Bandar;2.05;99.75
1053;southampton;Southampton;40.88427;-72.38953
1057;surabaya;Surabaya;-4.67122;105.72571
1091;coromandel;Coromandel;-18.47333;-47.20028
1144;batticaloa;Batticaloa;7.7102;81.6924
1147;porto novo;Porto Novo;17.01969;-25.06471
1152;natal;Natal;0.5632;99.1099
1156;tynemouth;Tynemouth;55.01788;-1.42559
1159;teignmouth;Teignmouth;50.54581;-3.49671
1163;isle of wight;Isle of Wight;36.90765;-76.70773
1179;pearl river;Pearl River;32.78347;-89.22784
1212;gap;gap;44.55858;6.07868
1215;nagasaki;Nagasaki;32.75;129.88333
1276;genoa;Genoa;41.51811;-83.35909
1277;leghorn;Leghorn;43.54427;10.32615
1289;okinawa;Okinawa;26.33583;127.80139
1304;dewas;Dewas;22.96585;76.05526
1305;brest;Brest;52.09755;23.68775
1306;trengganu;Trengganu;5.3302;103.1408
1357;toun;Toun;46.75118;7.62166
1373;sao paulo;Sao Paulo;-23.5475;-46.63611
