year	bengal	bombay	madras	benkulen	total
1791	0	4740	0	0	4740
1792	0	9080	0	0	9080
1793	0	0	0	0	0
1794	0	7901	0	0	7901
1795	0	0	19153	0	19153
1796	0	0	0	0	0
1797	0	0	25747	0	25747
1798	0	0	0	2561	2561
1799	0	0	0	0	0
1800	0	0	0	0	0
1801	0	0	0	0	0
1802	0	0	0	0	0
1803	0	0	19380	0	19380
1804	10406	0	13082	0	23488
1805	0	0	0	0	0
1806	0	0	0	0	0
1807	0	0	0	0	0
1808	0	33366	0	0	33366
1809	0	0	47889	0	47889
1810	0	0	25777	0	25777
1811	0	0	5334	0	5334
