month 	personal	attorney	total
Nov. 1770	196803	111100	307903
Dec. 1770	29200	3000	32200
Jan. 1771	193567	13750	207317
Feb. 1771	291790	78381	370171
Mar. 1771	67150	14500	81650
Apr. 1771	207650	97690	305340
May 1771	231189	96700	327889
Jun. 1771	85350	37550	122900
Jul. 1771	159848	52207	212055
Aug. 1771	138025	105394	243419
Sep. 1771	60884	18500	79384
Oct. 1771	240240	51650	291890
Nov. 1771	217350	34300	251650
Dec. 1771	37659	20000	57659
Jan. 1772	94300	53545	147845
Feb. 1772	149103	71000	220103
Mar. 1772	48580	5000	53580
Apr. 1772	163710	34581	198291
May 1772	196150	88112	284262
Jun. 1772	128223	57050	185273
Jul. 1772	204920	77630	282550
Aug. 1772	200373	24618	224991
Sep. 1772	132574	29100	161674
Oct. 1772	234705	67400	302105
Nov. 1772	188462	46150	234612
Dec. 1772	137277	38120	175397
Jan. 1773	105200	41500	146700
Feb. 1773	157855	64900	222755
Mar. 1773	37404	11600	49004
Apr. 1773	132649	62300	194949
May 1773	126480	72710	199190
Jun. 1773	63175	37550	100725
Jul. 1773	117905	29950	147855
Aug. 1773	121288	120950	242238
Sep. 1773	179200	63650	242850
Oct. 1773	156229	28334	184563
Nov. 1773	87075	65010	152085
Dec. 1773	49910	9649	59559
Jan. 1774	62155	25800	87955
Feb. 1774	72112	31090	103202
Mar. 1774	28915	3500	32415
Apr. 1774	142800	57450	200250
May 1774	75340	34997	110337
Jun. 1774	53836	12235	66071
Jul. 1774	41660	22600	64260
Aug. 1774	41303	17633	58936
Sep. 1774	13200	6000	19200
Oct. 1774	21707	8350	30057
Nov. 1774	27175	18800	45975
Dec. 1774	21170	5700	26870
Jan. 1775	62475	13141	75616
Feb. 1775	63489	18400	81889
Mar. 1775	101558	29380	130938
Apr. 1775	53350	7025	60375
May 1775	74746	39900	114646
Jun. 1775	17550	13350	30900
Jul. 1775	17721	11600	29321
Aug. 1775	47607	34050	81657
Sep. 1775	32008	4800	36808
Oct. 1775	61500	7000	68500
Nov. 1775	70475	10501	80976
Dec. 1775	50345	0	50345
Jan. 1776	59420	14750	74170
Feb. 1776	56162	49550	105712
Mar. 1776	18631	11000	29631
Apr. 1776	48100	22217	70317
May 1776	61844	36936	98780
Jun. 1776	8797	10799	19596
Jul. 1776	44920	11075	55995
Aug. 1776	51350	19186	70536
Sep. 1776	33786	24686	58472
Oct. 1776	76917	15595	92512
Nov. 1776	39018	27267	66285
Dec. 1776	28350	10850	39200
Jan. 1777	32217	11691	43908
Feb. 1777	54425	68165	122590
Mar. 1777	27955	4300	32255
Apr. 1777	68629	7750	76379
May 1777	54132	11466	65598
Jun. 1777	21366	4623	25989
Jul. 1777	48078	32200	80278
Aug. 1777	65436	13950	79386
Sep. 1777	31550	7100	38650
Oct. 1777	42357	5350	47707
Nov. 1777	21417	10750	32167
Dec. 1777	30932	3800	34732
Jan. 1778	39563	22400	61963
Feb. 1778	54025	12700	66725
Mar. 1778	16510	2000	18510
Apr. 1778	56700	30550	87250
May 1778	44357	15700	60057
Jun. 1778	15513	12200	27713
Jul. 1778	33600	4200	37800
Aug. 1778	43350	20060	63410
Sep. 1778	20700	10050	30750
Oct. 1778	27855	10600	38455
Nov. 1778	20825	19900	40725
Dec. 1778	12515	7200	19715
Jan. 1779	20700	21286	41986
Feb. 1779	35159	23100	58259
Mar. 1779	14193	7300	21493
Apr. 1779	51717	27500	79217
May 1779	39730	14475	54205
Jun. 1779	17129	3779	20908
Jul. 1779	47141	13572	60713
Aug. 1779	43985	27954	71939
Sep. 1779	29625	4700	34325
Oct. 1779	47850	6007	53857
Nov. 1779	31700	9475	41175
Dec. 1779	9343	3500	12843
Jan. 1780	25005	1700	26705
Feb. 1780	39521	9065	48586
Mar. 1780	16200	16386	32586
Apr. 1780	47100	38537	85637
May 1780	43262	35500	78762
Jun. 1780	21600	13200	34800
Jul. 1780	24270	8500	32770
Aug. 1780	40638	12194	52832
Sep. 1780	12174	8080	20254
Oct. 1780	39810	5032	44842
Nov. 1780	28055	14700	42755
Dec. 1780	43236	3722	46958
Jan. 1781	21681	21350	43031
Feb. 1781	36329	12500	48829
Mar. 1781	32533	18162	50695
Apr. 1781	65825	24955	90780
May 1781	64081	29500	93581
Jun. 1781	10073	4900	14973
Jul. 1781	69050	26206	95256
Aug. 1781	46377	17100	63477
Sep. 1781	29202	4100	33302
Oct. 1781	23905	23800	47705
Nov. 1781	36630	16228	52858
Dec. 1781	21157	6467	27624
Jan. 1782	42837	15650	58487
Feb. 1782	84713	26886	111599
Mar. 1782	23015	1543	24558
Apr. 1782	59800	23816	83616
May 1782	66707	13963	80670
Jun. 1782	11985	11500	23485
Jul. 1782	49130	13460	62590
Aug. 1782	77009	14634	91643
Sep. 1782	24052	5390	29442
Oct. 1782	34150	19952	54102
Nov. 1782	71100	11300	82400
Dec. 1782	18575	5417	23992
Jan. 1783	65550	12600	78150
Feb. 1783	38983	20900	59883
Mar. 1783	67625	19750	87375
Apr. 1783	58518	16183	74701
May 1783	87672	22350	110022
Jun. 1783	11196	6600	17796
Jul. 1783	29286	14643	43929
Aug. 1783	55501	15933	71434
Sep. 1783	18382	6750	25132
Oct. 1783	33868	12467	46335
Nov. 1783	26640	12450	39090
Dec. 1783	60422	20067	80489
Jan. 1784	29042	10530	39572
Feb. 1784	45237	22700	67937
Mar. 1784	25663	10833	36496
Apr. 1784	24975	20125	45100
May 1784	34925	17767	52692
Jun. 1784	19697	15565	35262
Jul. 1784	44654	13215	57869
Aug. 1784	80075	11440	91515
Sep. 1784	10470	5577	16047
Oct. 1784	12500	12720	25220
Nov. 1784	13838	650	14488
Dec. 1784	23994	12085	36079
Jan. 1785	35852	13377	49229
Feb. 1785	38481	21759	60240
Mar. 1785	56010	14000	70010
Apr. 1785	33852	5904	39756
May 1785	29362	14280	43642
Jun. 1785	8950	1200	10150
Jul. 1785	31360	12587	43947
Aug. 1785	26591	23990	50581
Sep. 1785	44373	6500	50873
Oct. 1785	28037	9426	37463
Nov. 1785	56450	41410	97860
Dec. 1785	17905	3500	21405
Jan. 1786	32650	6600	39250
Feb. 1786	43545	27930	71475
Mar. 1786	36440	10700	47140
Apr. 1786	29432	18450	47882
May 1786	69658	9825	79483
Jun. 1786	15500	5200	20700
Jul. 1786	48782	20450	69232
Aug. 1786	67061	16170	83231
Sep. 1786	27270	9590	36860
Oct. 1786	58156	8979	67135
Nov. 1786	95351	9612	104963
Dec. 1786	23186	3490	26676
Jan. 1787	22363	14200	36563
Feb. 1787	107720	8055	115775
Mar. 1787	77451	3736	81187
Apr. 1787	94574	15849	110423
May 1787	124387	26227	150614
Jun. 1787	36550	8385	44935
Jul. 1787	78090	6400	84490
Aug. 1787	102642	28000	130642
Sep. 1787	53894	6390	60284
Oct. 1787	67615	16583	84198
Nov. 1787	114456	26167	140623
Dec. 1787	47642	24786	72428
Jan. 1788	53055	23910	76965
Feb. 1788	109478	38820	148298
Mar. 1788	68325	32350	100675
Apr. 1788	102064	43300	145364
May 1788	107657	43718	151375
Jun. 1788	20199	9650	29849
