month 	personal	attorney	total
Jul. 1824	80809	24767	105576
Aug. 1824	34727	28485	63212
Sep. 1824	27064	13095	40159
Oct. 1824	43638	7765	51403
Nov. 1824	39515	25307	64822
Dec. 1824	5700	5680	11380
Jan. 1825	102204	25117	127321
Feb. 1825	79571	24912	104483
Mar. 1825	26479	2779	29258
Apr. 1825	110893	21326	132219
May 1825	77106	29046	106152
Jun. 1825	9336	5550	14886
Jul. 1825	73679	41213	114892
Aug. 1825	59124	27544	86668
Sep. 1825	81057	12280	93337
Oct. 1825	67461	6589	74050
Nov. 1825	52203	16439	68642
Dec. 1825	1589	5000	6589
Jan. 1826	85945	41909	127854
Feb. 1826	98886	30200	129086
Mar. 1826	20357	8600	28957
Apr. 1826	79876	37072	116948
May 1826	115727	31967	147694
Jun. 1826	12630	1700	14330
Jul. 1826	86395	20938	107333
Aug. 1826	83875	20408	104283
Sep. 1826	10898	15465	26363
Oct. 1826	56050	27173	83223
Nov. 1826	53720	26375	80095
Dec. 1826	13815	9600	23415
Jan. 1827	70259	13890	84149
Feb. 1827	72865	11422	84287
Mar. 1827	22727	4672	27399
Apr. 1827	65603	17656	83259
May 1827	72132	36429	108561
Jun. 1827	8392	15942	24334
Jul. 1827	53944	38832	92776
Aug. 1827	46549	18096	64645
Sep. 1827	15780	6732	22512
Oct. 1827	43868	31208	75076
Nov. 1827	58258	12734	70992
Dec. 1827	21074	2000	23074
Jan. 1828	58721	11410	70131
Feb. 1828	56482	11823	68305
Mar. 1828	18791	5379	24170
Apr. 1828	48912	11159	60071
May 1828	71697	7848	79545
Jun. 1828	33083	29231	62314
Jul. 1828	95451	26148	121599
Aug. 1828	66469	21344	87813
Sep. 1828	29781	11621	41402
Oct. 1828	70594	18727	89321
Nov. 1828	74898	1847	76745
Dec. 1828	5920	4110	10030
Jan. 1829	50019	6001	56020
Feb. 1829	70901	40570	111471
Mar. 1829	23525	2300	25825
Apr. 1829	70377	41059	111436
May 1829	117501	23516	141017
Jun. 1829	21614	6088	27702
Jul. 1829	97564	18220	115784
Aug. 1829	73356	37162	110518
Sep. 1829	43881	12904	56785
Oct. 1829	65579	16608	82187
Nov. 1829	80935	6283	87218
Dec. 1829	24349	4527	28876
Jan. 1830	68881	19161	88042
Feb. 1830	96840	33392	130232
Mar. 1830	62085	24480	86565
Apr. 1830	110920	42361	153281
May 1830	71458	23305	94763
Jun. 1830	19445	3999	23444
Jul. 1830	70684	16444	87128
Aug. 1830	57403	30906	88309
Sep. 1830	35820	12355	48175
Oct. 1830	46548	10600	57148
Nov. 1830	37166	27366	64532
Dec. 1830	3429	0	3429
Jan. 1831	30265	18671	48936
Feb. 1831	56224	13870	70094
Mar. 1831	10250	7500	17750
Apr. 1831	37530	14538	52068
May 1831	75392	25682	101074
Jun. 1831	9363	3000	12363
Jul. 1831	87003	25968	112971
Aug. 1831	70999	18414	89413
Sep. 1831	39131	19799	58930
Oct. 1831	57834	21710	79544
Nov. 1831	64804	13800	78604
Dec. 1831	5597	16660	22257
Jan. 1832	53941	24202	78143
Feb. 1832	65955	38153	104108
Mar. 1832	5209	10911	16120
Apr. 1832	59437	7987	67424
May 1832	57250	38996	96246
Jun. 1832	12818	12945	25763
Jul. 1832	48611	32954	81565
Aug. 1832	83281	11986	95267
Sep. 1832	43138	6178	49316
Oct. 1832	37346	20710	58056
Nov. 1832	57810	20344	78154
Dec. 1832	17159	1224	18383
Jan. 1833	125769	18015	143784
Feb. 1833	92004	27432	119436
Mar. 1833	30273	8242	38515
Apr. 1833	236213	78901	315114
May 1833	151674	37740	189414
Jun. 1833	36557	24002	60559
Jul. 1833	184399	61182	245581
Aug. 1833	191316	46586	237902
Sep. 1833	57954	29432	87386
Oct. 1833	101973	24237	126210
Nov. 1833	108625	42430	151055
Dec. 1833	27399	6600	33999
Jan. 1834	125808	34287	160095
Feb. 1834	195300	30911	226211
Mar. 1834	39287	16155	55442
Apr. 1834	114831	63211	178042
May 1834	135437	45766	181203
Jun. 1834	29803	4561	34364
Jul. 1834	98467	41158	139625
Aug. 1834	168699	36184	204883
Sep. 1834	120942	35334	156276
Oct. 1834	83567	23934	107501
Nov. 1834	152946	41184	194130
Dec. 1834	30501	0	30501
