;ship_id;voyage_id;call_id;raw;year;month;day;location_x;special;location_id;location_name;category;lat;lon;region
26488;s1199;s1199v1;s1199v1c4;captured by the Dutch at Pattani 17 Jul 1619;1619;7.0;17.0;;True;;maldives;calls;4.18;73.51;indian_ocean
26490;s1200;s1200v1;s1200v1c2;12 Aug Johanna;1669;8.0;12.0;l41;False;l41;Johanna;calls;-12.1254;44.253;indian_ocean
26499;s1201;s1201v4;s1201v4c3;Jun Bandar Abbas;1685;6.0;;l80;False;l80;Bandar Abbas;calls;27.1865;56.2808;indian_ocean
26501;s1201;s1201v4;s1201v4c5;14 Jul Basra;1685;7.0;14.0;l373;False;l373;Basra;calls;30.50852;47.7804;indian_ocean
26502;s1201;s1201v4;s1201v4c6;Nov Bandar Abbas;1685;11.0;;l80;False;l80;Bandar Abbas;calls;27.1865;56.2808;indian_ocean
26523;s1202;s1202v1;s1202v1c7;16 Jul Basra;1785;7.0;16.0;l373;False;l373;Basra;calls;30.50852;47.7804;indian_ocean
26524;s1202;s1202v1;s1202v1c8;30 May 1786 Bandar Abbas;1786;5.0;30.0;l80;False;l80;Bandar Abbas;calls;27.1865;56.2808;indian_ocean
26525;s1202;s1202v1;s1202v1c9;24 Jul Basra;1786;7.0;24.0;l373;False;l373;Basra;calls;30.50852;47.7804;indian_ocean
26526;s1202;s1202v1;s1202v1c10;23 Oct Bandar Abbas;1786;10.0;23.0;l80;False;l80;Bandar Abbas;calls;27.1865;56.2808;indian_ocean
26534;s1204;s1204v1;s1204v1c2;14 Aug Moheli;1629;8.0;14.0;l61;False;l61;Moheli;calls;-12.15;43.45;indian_ocean
26567;s1207;s1207v1;s1207v1c2;1 Aug 1676;1676;8.0;1.0;;True;;maldives;calls;4.18;73.51;indian_ocean
26583;s1208;s1208v3;s1208v3c2;8 Jul St Augustine's Bay;1753;7.0;8.0;l103;True;l103;St Augustine's Bay;calls;-23.3015;43.41;indian_ocean
26590;s1208;s1208v3;s1208v3c9;3 Mar Mokha;1754;3.0;3.0;l157;False;l157;Mokha;calls;13.1913;43.15;indian_ocean
26627;s1211;s1211v2;s1211v2c3;31 Mar Kedgeree;1802;3.0;31.0;l20;False;l20;Kedgeree;calls;12.8575;87.9115;indian_ocean
26653;s1212;s1212v1;s1212v1c11;25 Mar Mokha;1717;3.0;25.0;l157;False;l157;Mokha;calls;13.1913;43.15;indian_ocean
26737;s1215;s1215v1;s1215v1c2;24 Jun Mozambique;1735;6.0;24.0;l250;False;l250;Mozambique;calls;-15.03466;40.73447;indian_ocean
26738;s1215;s1215v1;s1215v1c3;7 Jul Johanna;1735;7.0;7.0;l41;False;l41;Johanna;calls;-12.1254;44.253;indian_ocean
26754;s1215;s1215v2;s1215v2c3;10 Jun Johanna;1738;6.0;10.0;l41;False;l41;Johanna;calls;-12.1254;44.253;indian_ocean
26792;s1216;s1216v4;s1216v4c7;15 Jun Mauritius (repairs) 20 Oct;1752;10.0;20.0;;False;;maldives;calls;4.18;73.51;indian_ocean
26810;s1218;s1218v1;s1218v1c10;Jun Aden;1697;6.0;;l203;False;l203;Aden;calls;12.77944;45.03667;indian_ocean
26811;s1218;s1218v1;s1218v1c11;18 Jun Mokha;1697;6.0;18.0;l157;False;l157;Mokha;calls;13.1913;43.15;indian_ocean
26828;s1218;s1218v1;s1218v1c26;28 Jul Downs * f.7v list of officers, against each name an armorial seal (a cross molincs w ithin a border, an esquire's helmet, the crest a lion passant);1698;7.0;28.0;;True;;maldives;calls;4.18;73.51;indian_ocean
26832;s1218;s1218v2;s1218v2c2;wrecked at Nash Point, Bristol Channel. Jan 1701;1701;1.0;;;True;;maldives;calls;4.18;73.51;indian_ocean
26835;s1219;s1219v1;s1219v1c1;22 Feb 1704;1704;2.0;22.0;;True;;maldives;calls;4.18;73.51;indian_ocean
26838;s1219;s1219v1;s1219v1c2;1 Nov 1705;1705;11.0;1.0;;True;;maldives;calls;4.18;73.51;indian_ocean
26842;s1219;s1219v3;s1219v3c2;1 Aug 1684;1684;8.0;1.0;;True;;maldives;calls;4.18;73.51;indian_ocean
26846;s1220;s1220v1;s1220v1c4;9 May Socotra;1625;5.0;9.0;l204;False;l204;Socotra;calls;12.3036;53.5512;indian_ocean
26849;s1220;s1220v1;s1220v1c7;20 Dec Moheli;1625;12.0;20.0;l61;False;l61;Moheli;calls;-12.15;43.45;indian_ocean
26855;s1220;s1220v2;s1220v2c3;Sep Moheli;1627;9.0;;l61;False;l61;Moheli;calls;-12.15;43.45;indian_ocean
26868;s1222;s1222v1;s1222v1c2;27 Jul Mozambique;1643;7.0;27.0;l250;False;l250;Mozambique;calls;-15.03466;40.73447;indian_ocean
26869;s1222;s1222v1;s1222v1c3;7 Aug Johanna;1643;8.0;7.0;l41;False;l41;Johanna;calls;-12.1254;44.253;indian_ocean
26872;s1222;s1222v1;s1222v1c6;12 Nov Bandar Abbas;1643;11.0;12.0;l80;False;l80;Bandar Abbas;calls;27.1865;56.2808;indian_ocean
26874;s1222;s1222v1;s1222v1c8;3 Mar 1644 Bandar Abbas;1644;3.0;3.0;l80;False;l80;Bandar Abbas;calls;27.1865;56.2808;indian_ocean
26894;s1223;s1223v2;s1223v2c1;16 Apr 1703;1703;4.0;16.0;;True;;maldives;calls;4.18;73.51;indian_ocean
26897;s1223;s1223v2;s1223v2c2;21 Aug 1706;1706;8.0;21.0;;True;;maldives;calls;4.18;73.51;indian_ocean
26915;s1224;s1224v3;s1224v3c4;30 Jul Kedgeree;1774;7.0;30.0;l20;False;l20;Kedgeree;calls;12.8575;87.9115;indian_ocean
26999;s1230;s1230v1;s1230v1c6;13 Aug;1752;8.0;13.0;;True;;maldives;calls;4.18;73.51;indian_ocean
27013;s1230;s1230v3;s1230v3c4;8 Aug St Augustine's Bay;1758;8.0;8.0;l103;True;l103;St Augustine's Bay;calls;-23.3015;43.41;indian_ocean
27034;s1231;s1231v1;s1231v1c3;7 Feb Kedgeree;1803;2.0;7.0;l20;False;l20;Kedgeree;calls;12.8575;87.9115;indian_ocean
27047;s1236;s1236v1;s1236v1c3;4 Aug Johanna;1768;8.0;4.0;l41;False;l41;Johanna;calls;-12.1254;44.253;indian_ocean
27051;s1236;s1236v1;s1236v1c7;6 Feb 1769 Kedgeree;1769;2.0;6.0;l20;False;l20;Kedgeree;calls;12.8575;87.9115;indian_ocean
27052;s1236;s1236v1;s1236v1c8;24 Jun Mauritius;1769;6.0;24.0;l77;False;l77;Mauritius;calls;-20.2;57.5;indian_ocean
27057;s1236;s1236v2;s1236v2c2;17 Sep Johanna;1771;9.0;17.0;l41;False;l41;Johanna;calls;-12.1254;44.253;indian_ocean
27063;s1236;s1236v2;s1236v2c8;28 May Aden;1772;5.0;28.0;l203;False;l203;Aden;calls;12.77944;45.03667;indian_ocean
27064;s1236;s1236v2;s1236v2c9;9 Jun Mokha;1772;6.0;9.0;l157;False;l157;Mokha;calls;13.1913;43.15;indian_ocean
27069;s1236;s1236v3;s1236v3c2;14 Jul Johanna;1776;7.0;14.0;l41;False;l41;Johanna;calls;-12.1254;44.253;indian_ocean
27078;s1236;s1236v4;s1236v4c3;13 Jul Johanna;1778;7.0;13.0;l41;False;l41;Johanna;calls;-12.1254;44.253;indian_ocean
27080;s1236;s1236v4;s1236v4c5;29 Sep Kedgeree;1778;9.0;29.0;l20;False;l20;Kedgeree;calls;12.8575;87.9115;indian_ocean
27085;s1236;s1236v4;s1236v4c10;25 Jul St Augustine's Bay;1779;7.0;25.0;l103;True;l103;St Augustine's Bay;calls;-23.3015;43.41;indian_ocean
27091;s1237;s1237v1;s1237v1c2;8 Oct 1686;1686;10.0;8.0;;True;;maldives;calls;4.18;73.51;indian_ocean
27094;s1238;s1238v1;s1238v1c3;1 Apr Johanna;1697;4.0;1.0;l41;False;l41;Johanna;calls;-12.1254;44.253;indian_ocean
27111;s1238;s1238v3;s1238v3c1;4 Dec 1700;1700;12.0;4.0;;True;;maldives;calls;4.18;73.51;indian_ocean
27114;s1238;s1238v3;s1238v3c2;21 Jul 1702;1702;7.0;21.0;;True;;maldives;calls;4.18;73.51;indian_ocean
27177;s1241;s1241v1;s1241v1c4;15 Sep Kedgeree;1801;9.0;15.0;l20;False;l20;Kedgeree;calls;12.8575;87.9115;indian_ocean
27228;s1242;s1242v8;s1242v8c2;9 Aug Johanna;1802;8.0;9.0;l41;False;l41;Johanna;calls;-12.1254;44.253;indian_ocean
27246;s1242;s1242v9;s1242v9c1;Portsmouth 26 Oct 1803 (fitted as a frigate);1803;10.0;26.0;;True;;maldives;calls;4.18;73.51;indian_ocean
27269;s1245;s1245v1;s1245v1c5;31 Jul Kedgeree;1797;7.0;31.0;l20;False;l20;Kedgeree;calls;12.8575;87.9115;indian_ocean
27271;s1245;s1245v1;s1245v1c7;29 Oct Kedgeree;1797;10.0;29.0;l20;False;l20;Kedgeree;calls;12.8575;87.9115;indian_ocean
27314;s1245;s1245v7;s1245v7c4;6 Nov Rodrigues;1810;11.0;6.0;l120;False;l120;Rodrigues;calls;-19.43;63.25;indian_ocean
27315;s1245;s1245v7;s1245v7c5;30 Nov Mauritius;1810;11.0;30.0;l77;False;l77;Mauritius;calls;-20.2;57.5;indian_ocean
27322;s1246;s1246v1;s1246v1c4;27 Jan 1803 Kedgeree;1803;1.0;27.0;l20;False;l20;Kedgeree;calls;12.8575;87.9115;indian_ocean
27330;s1246;s1246v2;s1246v2c5;11 Dec Kedgeree;1804;12.0;11.0;l20;False;l20;Kedgeree;calls;12.8575;87.9115;indian_ocean
27365;s1247;s1247v1;s1247v1c2;21 Nov Mauritius;1812;11.0;21.0;l77;False;l77;Mauritius;calls;-20.2;57.5;indian_ocean
27399;s1248;s1248v4;s1248v4c4;23 Feb Kedgeree;1810;2.0;23.0;l20;False;l20;Kedgeree;calls;12.8575;87.9115;indian_ocean
27414;s1248;s1248v6;s1248v6c5;30 Jan 1814 Kedgeree;1814;1.0;30.0;l20;False;l20;Kedgeree;calls;12.8575;87.9115;indian_ocean
27440;s1252;s1252v1;s1252v1c2;6 Aug 1660;1660;8.0;6.0;;True;;maldives;calls;4.18;73.51;indian_ocean
27443;s1253;s1253v2;s1253v2c1;23 Jan 1678;1678;1.0;23.0;;True;;maldives;calls;4.18;73.51;indian_ocean
27446;s1253;s1253v2;s1253v2c2;15 Aug 1679;1679;8.0;15.0;;True;;maldives;calls;4.18;73.51;indian_ocean
27449;s1253;s1253v3;s1253v3c1;22 Apr 1680;1680;4.0;22.0;;True;;maldives;calls;4.18;73.51;indian_ocean
27452;s1253;s1253v3;s1253v3c2;18 Jan 1682;1682;1.0;18.0;;True;;maldives;calls;4.18;73.51;indian_ocean
27455;s1253;s1253v4;s1253v4c3;3 Jun Bandar Abbas;1685;6.0;3.0;l80;False;l80;Bandar Abbas;calls;27.1865;56.2808;indian_ocean
27457;s1253;s1253v4;s1253v4c5;14 Jul Basra;1685;7.0;14.0;l373;False;l373;Basra;calls;30.50852;47.7804;indian_ocean
27463;s1254;s1254v1;s1254v1c2;9 Aug;1764;8.0;9.0;;True;;maldives;calls;4.18;73.51;indian_ocean
27473;s1255;s1255v2;s1255v2c3;7 Aug St Augustine's Bay;1614;8.0;7.0;l103;True;l103;St Augustine's Bay;calls;-23.3015;43.41;indian_ocean
27474;s1255;s1255v2;s1255v2c4;23 Aug Moheli;1614;8.0;23.0;l61;False;l61;Moheli;calls;-12.15;43.45;indian_ocean
27475;s1255;s1255v2;s1255v2c5;9 Sep Socotra;1614;9.0;9.0;l204;False;l204;Socotra;calls;12.3036;53.5512;indian_ocean
27480;s1255;s1255v2;s1255v2c8;Jan 1616 Masulipatam (sheathed);1616;1.0;;;False;;maldives;calls;4.18;73.51;indian_ocean
27494;s1256;s1256v1;s1256v1c11;4 May Muscat;1713;5.0;4.0;l295;False;l295;Muscat;calls;23.58413;58.40778;indian_ocean
27495;s1256;s1256v1;s1256v1c12;13 May Bandar Abbas;1713;5.0;13.0;l80;False;l80;Bandar Abbas;calls;27.1865;56.2808;indian_ocean
27508;s1256;s1256v1;s1256v1c25;9 Sep Reunion;1714;9.0;9.0;l47;False;l47;Reunion;calls;-21.0652;55.3157;indian_ocean
27528;s1257;s1257v1;s1257v1c4;30 Oct Kedgeree;1739;10.0;30.0;l20;False;l20;Kedgeree;calls;12.8575;87.9115;indian_ocean
27537;s1257;s1257v2;s1257v2c2;15 Jun Johanna;1742;6.0;15.0;l41;False;l41;Johanna;calls;-12.1254;44.253;indian_ocean
27564;s1257;s1257v4;s1257v4c6;6 Feb 1779 Kedgeree;1779;2.0;6.0;l20;False;l20;Kedgeree;calls;12.8575;87.9115;indian_ocean
27574;s1258;s1258v2;s1258v2c4;14 Oct Kedgeree;1781;10.0;14.0;l20;False;l20;Kedgeree;calls;12.8575;87.9115;indian_ocean
27577;s1258;s1258v2;s1258v2c7;23 Feb 1782 Kedgeree;1782;2.0;23.0;l20;False;l20;Kedgeree;calls;12.8575;87.9115;indian_ocean
27579;s1258;s1258v2;s1258v2c9;1 May Kedgeree;1782;5.0;1.0;l20;False;l20;Kedgeree;calls;12.8575;87.9115;indian_ocean
27582;s1258;s1258v2;s1258v2c12;4 Mar 1783 Kedgeree;1783;3.0;4.0;l20;False;l20;Kedgeree;calls;12.8575;87.9115;indian_ocean
27587;s1258;s1258v2;s1258v2c17;7 Nov 1784 Kedgeree;1784;11.0;7.0;l20;False;l20;Kedgeree;calls;12.8575;87.9115;indian_ocean
27595;s1259;s1259v1;s1259v1c1;Dewas 24 May 1795;1795;5.0;24.0;l1361;False;l1361;Dewas;calls;22.96585;76.05526;indian_ocean
27597;s1259;s1259v1;s1259v1c3;5 Nov Port Jackson;1795;11.0;5.0;l117;False;l117;Port Jackson;calls;-33.513;151.14;indian_ocean
27609;s1260;s1260v1;s1260v1c4;10 Jan 1805 Kedgeree;1805;1.0;10.0;l20;False;l20;Kedgeree;calls;12.8575;87.9115;indian_ocean
27659;s1261;s1261v2;s1261v2c3;6 Aug Johanna;1766;8.0;6.0;l41;False;l41;Johanna;calls;-12.1254;44.253;indian_ocean
27671;s1261;s1261v3;s1261v3c2;30 Jul Johanna;1769;7.0;30.0;l41;False;l41;Johanna;calls;-12.1254;44.253;indian_ocean
27681;s1261;s1261v4;s1261v4c2;23 Jul Johanna;1772;7.0;23.0;l41;False;l41;Johanna;calls;-12.1254;44.253;indian_ocean
27700;s1262;s1262v2;s1262v2c2;30 May St Augustine's Bay;1631;5.0;30.0;l103;True;l103;St Augustine's Bay;calls;-23.3015;43.41;indian_ocean
27701;s1262;s1262v2;s1262v2c3;1 Jul Johanna;1631;7.0;1.0;l41;False;l41;Johanna;calls;-12.1254;44.253;indian_ocean
27708;s1262;s1262v2;s1262v2c10;28 Mar 1635 Bandar Abbas;1635;3.0;28.0;l80;False;l80;Bandar Abbas;calls;27.1865;56.2808;indian_ocean
