;ship_id;voyage_id;call_id;raw;year;month;day;location_x;special;location_id;location_name;category;lat;lon;region
20459;s935;s935v7;s935v7c2;6 Nov Singapore;1832;11.0;6.0;l13;False;l13;Singapore;calls;1.28967;103.85007;southeast_asia
20483;s936;s936v4;s936v4c2;6 Oct Surabaya;1833;10.0;6.0;l1095;False;l1095;Surabaya;calls;-4.67122;105.72571;southeast_asia
20501;s937;s937v3;s937v3c3;14 Oct Penang;1806;10.0;14.0;l107;False;l107;Penang;calls;5.41123;100.33543;southeast_asia
20511;s937;s937v4;s937v4c5;4 Jun Penang;1809;6.0;4.0;l107;False;l107;Penang;calls;5.41123;100.33543;southeast_asia
20551;s938;s938v3;s938v3c2;6 May 1729 Batavia;1729;5.0;6.0;l22;False;l22;Batavia;calls;-6.129;106.8129;southeast_asia
20586;s939;s939v2;s939v2c4;23 Oct Batavia;1703;10.0;23.0;l22;False;l22;Batavia;calls;-6.129;106.8129;southeast_asia
20588;s939;s939v2;s939v2c6;17 Jan 1705 Malacca;1705;1.0;17.0;l15;False;l15;Malacca;calls;2.196;102.2405;southeast_asia
20634;s940;s940v4;s940v4c4;29 Jun Batavia;1730;6.0;29.0;l22;False;l22;Batavia;calls;-6.129;106.8129;southeast_asia
20635;s940;s940v4;s940v4c5;24 Jul Benkulen;1730;7.0;24.0;l37;False;l37;Benkulen;calls;-3.80044;102.26554;southeast_asia
20636;s940;s940v4;s940v4c6;12 Aug Moco Moco;1730;8.0;12.0;l83;False;l83;Moco Moco;calls;-2.5833;101.117;southeast_asia
20638;s940;s940v4;s940v4c8;11 Sep Benkulen;1730;9.0;11.0;l37;False;l37;Benkulen;calls;-3.80044;102.26554;southeast_asia
20639;s940;s940v4;s940v4c9;13 Nov Moco Moco;1730;11.0;13.0;l83;False;l83;Moco Moco;calls;-2.5833;101.117;southeast_asia
20640;s940;s940v4;s940v4c10;29 Nov Benkulen;1730;11.0;29.0;l37;False;l37;Benkulen;calls;-3.80044;102.26554;southeast_asia
20641;s940;s940v4;s940v4c11;24 Jan 1731 Batavia;1731;1.0;24.0;l22;False;l22;Batavia;calls;-6.129;106.8129;southeast_asia
20706;s943;s943v3;s943v3c2;26 Jun Achen;1749;6.0;26.0;l345;False;l345;Achen;calls;5.3325;95.1934;southeast_asia
20728;s944;s944v1;s944v1c3;5 Nov Bantam;1618;11.0;5.0;l87;False;l87;Bantam;calls;-6.0233;106.0939;southeast_asia
20729;s944;s944v1;s944v1c4;Batavia;1618;;;l22;False;l22;Batavia;calls;-6.129;106.8129;southeast_asia
20734;s944;s944v1;s944v1c7;Jan 1623 Jambi;1623;1.0;;l166;False;l166;Jambi;calls;-1.6;103.61667;southeast_asia
20735;s944;s944v1;s944v1c8;Batavia;1623;;;l22;False;l22;Batavia;calls;-6.129;106.8129;southeast_asia
20754;s945;s945v2;s945v2c2;3 Jul Batavia;1721;7.0;3.0;l22;False;l22;Batavia;calls;-6.129;106.8129;southeast_asia
20810;s949;s949v1;s949v1c8;Oct Bantam 18 Feb 1828;1828;2.0;18.0;l87;False;l87;Bantam;calls;-6.0233;106.0939;southeast_asia
20828;s950;s950v2;s950v2c5;30 Nov Malacca;1774;11.0;30.0;l15;False;l15;Malacca;calls;2.196;102.2405;southeast_asia
20844;s950;s950v3;s950v3c10;8 Feb Malacca;1780;2.0;8.0;l15;False;l15;Malacca;calls;2.196;102.2405;southeast_asia
