;ship_id;voyage_id;call_id;raw;year;month;day;location_x;special;location_id;location_name;category;lat;lon;region
19889;s899;s899v3;s899v3c13;4 Nov Bombay;1705;11.0;4.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
19943;s902;s902v4;s902v4c4;10 Mar Bombay;1733;3.0;10.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
19948;s902;s902v4;s902v4c9;3 Apr Bombay;1734;4.0;3.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
19949;s902;s902v4;s902v4c10;20 Apr Bombay;1734;4.0;20.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
19950;s902;s902v4;s902v4c11;20 Apr Surat;1734;4.0;20.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
19951;s902;s902v4;s902v4c12;11 May Bombay;1734;5.0;11.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
19982;s906;s906v5;s906v5c4;6 Mar 1684 Karwar;1684;3.0;6.0;l31;False;l31;Karwar;calls;14.81361;74.12972;bombay_presidency
19984;s906;s906v5;s906v5c6;11 May Karwar;1684;5.0;11.0;l31;False;l31;Karwar;calls;14.81361;74.12972;bombay_presidency
20045;s913;s913v6;s913v6c3;30 Sep Bombay;1798;9.0;30.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20047;s913;s913v6;s913v6c5;31 Dec Bombay;1798;12.0;31.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20055;s913;s913v7;s913v7c6;7 May Bombay;1801;5.0;7.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20092;s915;s915v5;s915v5c4;18 Jul Bombay;1779;7.0;18.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20096;s915;s915v5;s915v5c8;20 Dec Bombay;1779;12.0;20.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20097;s915;s915v5;s915v5c9;8 Jan 1789 Goa;1789;1.0;8.0;l44;False;l44;Goa;calls;15.5;73.83;bombay_presidency
20098;s915;s915v5;s915v5c10;22 Apr Bombay;1789;4.0;22.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20103;s915;s915v5;s915v5c15;4 Feb Bombay;1781;2.0;4.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20107;s915;s915v5;s915v5c19;22 Oct Bombay;1781;10.0;22.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20111;s915;s915v5;s915v5c23;29 May Bombay;1782;5.0;29.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20113;s915;s915v5;s915v5c25;25 Aug Bombay;1782;8.0;25.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20117;s915;s915v5;s915v5c29;18 Apr Bombay;1783;4.0;18.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20134;s917;s917v2;s917v2c2;3 Jan 1808 Bombay;1808;1.0;3.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20195;s920;s920v4;s920v4c3;20 Sep Bombay;1734;9.0;20.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20197;s920;s920v4;s920v4c5;4 Jan 1735 Bombay;1735;1.0;4.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20207;s920;s920v7;s920v7c7;23 Mar Bombay;1731;3.0;23.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20208;s920;s920v7;s920v7c8;2 Apr Surat;1731;4.0;2.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
20234;s921;s921v4;s921v4c3;15 Jun Bombay;1792;6.0;15.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20252;s923;s923v1;s923v1c1;Bombay 21 Oct 1805;1805;10.0;21.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20426;s935;s935v1;s935v1c3;26 Oct Bombay;1811;10.0;26.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20468;s936;s936v1;s936v1c6;25 Mar Bombay;1821;3.0;25.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20542;s938;s938v2;s938v2c10;25 Mar Bombay;1725;3.0;25.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20560;s938;s938v4;s938v4c4;4 Sep Bombay;1732;9.0;4.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20563;s938;s938v4;s938v4c7;27 Jan 1733 Bombay;1733;1.0;27.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20571;s939;s939v1;s939v1c4;18 Jan 1700 Surat;1700;1.0;18.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
20572;s939;s939v1;s939v1c5;18 Jun Goa;1700;6.0;18.0;l44;False;l44;Goa;calls;15.5;73.83;bombay_presidency
20575;s939;s939v1;s939v1c8;8 Jan 1701 Surat;1701;1.0;8.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
20576;s939;s939v1;s939v1c9;19 Mar Bombay;1701;3.0;19.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20589;s939;s939v2;s939v2c7;28 Apr Surat;1705;4.0;28.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
20590;s939;s939v2;s939v2c8;16 May Bombay;1705;5.0;16.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20591;s939;s939v2;s939v2c9;31 Aug Karwar;1705;8.0;31.0;l31;False;l31;Karwar;calls;14.81361;74.12972;bombay_presidency
20602;s939;s939v3;s939v3c7;1 Mar Goa;1712;3.0;1.0;l44;False;l44;Goa;calls;15.5;73.83;bombay_presidency
20603;s939;s939v3;s939v3c8;5 Apr Bombay;1712;4.0;5.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20604;s939;s939v3;s939v3c9;15 Sep Surat;1712;9.0;15.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
20605;s939;s939v3;s939v3c10;21 Sep Bombay;1712;9.0;21.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20606;s939;s939v3;s939v3c11;12 Oct Surat;1712;10.0;12.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
20607;s939;s939v3;s939v3c12;17 Dec Bombay;1712;12.0;17.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20646;s941;s941v1;s941v1c3;31 Aug Bombay;1743;8.0;31.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20648;s941;s941v1;s941v1c5;1 Feb 1744 Bombay;1744;2.0;1.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20650;s941;s941v1;s941v1c7;31 Mar Bombay;1744;3.0;31.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20655;s941;s941v1;s941v1c12;8 Jan 1745 Bombay;1745;1.0;8.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20661;s941;s941v2;s941v2c2;2 Jul Bombay;1737;7.0;2.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20669;s941;s941v3;s941v3c3;17 Jul Bombay;1740;7.0;17.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20670;s941;s941v3;s941v3c4;28 Aug Surat;1740;8.0;28.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
20671;s941;s941v3;s941v3c5;21 Sep Bombay;1740;9.0;21.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20676;s941;s941v3;s941v3c8;30 Nov Bombay;1740;11.0;30.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20718;s943;s943v4;s943v4c7;19 Apr Bombay;1754;4.0;19.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20719;s943;s943v4;s943v4c8;29 Apr Surat;1754;4.0;29.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
20720;s943;s943v4;s943v4c9;19 May Bombay;1754;5.0;19.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20743;s945;s945v1;s945v1c6;19 Dec Bombay;1717;12.0;19.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20744;s945;s945v1;s945v1c7;7 Feb 1718 Surat;1718;2.0;7.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
20745;s945;s945v1;s945v1c8;22 Mar Bombay;1718;3.0;22.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20747;s945;s945v1;s945v1c10;4 Sep Bombay;1718;9.0;4.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20748;s945;s945v1;s945v1c11;9 Oct Surat;1718;10.0;9.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
20762;s945;s945v3;s945v3c6;29 Nov Bombay;1724;11.0;29.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20764;s945;s945v3;s945v3c8;Surat 6 May 1725;1725;5.0;6.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
20769;s945;s945v3;s945v3c13;15 Dec Bombay;1725;12.0;15.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20770;s945;s945v3;s945v3c14;23 Dec Surat;1725;12.0;23.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
20771;s945;s945v3;s945v3c15;12 Jan 1726 Bombay;1726;1.0;12.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20781;s945;s945v4;s945v4c6;17 Aug Bombay;1729;8.0;17.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20806;s949;s949v1;s949v1c4;24 Oct Surat;1626;10.0;24.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
20808;s949;s949v1;s949v1c6;Mar Surat;1627;3.0;;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
20839;s950;s950v3;s950v3c5;7 Feb 1779 Bombay;1779;2.0;7.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
