;ship_id;voyage_id;call_id;raw;year;month;day;location_x;special;location_id;location_name;category;lat;lon;region
350;s23;s23v6;s23v6c7;21 Jan Anjengo;1802;1.0;21.0;l28;False;l28;Anjengo;calls;8.4833;76.9167;madras_presidency
357;s23;s23v7;s23v7c5;12 Feb Madras;1805;2.0;12.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
359;s23;s23v7;s23v7c7;1 May Madras;1805;5.0;1.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
366;s23;s23v8;s23v8c5;16 Feb Madras;1808;2.0;16.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
372;s24;s24v2;s24v2c2;10 Dec Madras;1722;12.0;10.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
373;s24;s24v2;s24v2c3;5 Jan 1725 Fort St David;1725;1.0;5.0;l75;True;l75;Fort St David;calls;11.75;79.75;madras_presidency
380;s24;s24v4;s24v4c2;26 Jul Madras;1731;7.0;26.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
385;s24;s24v4;s24v4c7;25 Dec Madras;1732;12.0;25.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
392;s25;s25v1;s25v1c4;28 Oct Madras;1759;10.0;28.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
397;s25;s25v1;s25v1c9;30 May Madras 18 Aug;1760;8.0;18.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
415;s28;s28v1;s28v1c2;29 Jul Madras;1788;7.0;29.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
422;s28;s28v2;s28v2c3;28 May Madras;1791;5.0;28.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
439;s28;s28v4;s28v4c3;14 Feb 1797 Colombo;1797;2.0;14.0;l58;False;l58;Colombo;calls;6.5604;79.5034;madras_presidency
440;s28;s28v4;s28v4c4;24 Feb Cochin;1797;2.0;24.0;l46;False;l46;Cochin;calls;9.93988;76.26022;madras_presidency
441;s28;s28v4;s28v4c5;28 Feb Tellicherry;1797;2.0;28.0;l30;False;l30;Tellicherry;calls;11.74811;75.4929;madras_presidency
445;s28;s28v4;s28v4c9;11 Aug Madras;1797;8.0;11.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
455;s28;s28v5;s28v5c3;25 Nov Tellicherry;1799;11.0;25.0;l30;False;l30;Tellicherry;calls;11.74811;75.4929;madras_presidency
457;s28;s28v5;s28v5c5;2 Feb 1800 Anjengo;1800;2.0;2.0;l28;False;l28;Anjengo;calls;8.4833;76.9167;madras_presidency
458;s28;s28v5;s28v5c6;5 Feb Quilon;1800;2.0;5.0;l97;False;l97;Quilon;calls;8.88113;76.58469;madras_presidency
459;s28;s28v5;s28v5c7;15 Feb Anjengo;1800;2.0;15.0;l28;False;l28;Anjengo;calls;8.4833;76.9167;madras_presidency
472;s28;s28v7;s28v7c3;11 Feb 1806 Madras;1806;2.0;11.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
473;s28;s28v7;s28v7c4;13 Mar Masulipatam;1806;3.0;13.0;l90;False;l90;Masulipatam;calls;16.18747;81.13888;madras_presidency
495;s29;s29v1;s29v1c3;16 Sep Madras;1821;9.0;16.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
498;s29;s29v1;s29v1c6;3 Feb Madras;1822;2.0;3.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
506;s29;s29v2;s29v2c5;11 Jan 1826 Madras;1826;1.0;11.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
514;s30;s30v1;s30v1c6;8 Nov Cochin;1642;11.0;8.0;l46;False;l46;Cochin;calls;9.93988;76.26022;madras_presidency
547;s33;s33v8;s33v8c4;20 Mar Colombo;1803;3.0;20.0;l58;False;l58;Colombo;calls;6.5604;79.5034;madras_presidency
555;s34;s34v1;s34v1c5;12 Feb Madras;1805;2.0;12.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
560;s34;s34v2;s34v2c3;26 Aug Madras;1806;8.0;26.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
561;s34;s34v2;s34v2c4;10 Sep Masulipatam;1806;9.0;10.0;l90;False;l90;Masulipatam;calls;16.18747;81.13888;madras_presidency
573;s34;s34v4;s34v4c3;25 Aug Madras;1810;8.0;25.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
577;s34;s34v4;s34v4c7;14 Mar Madras;1811;3.0;14.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
590;s34;s34v6;s34v6c3;19 Sep Madras;1814;9.0;19.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
596;s34;s34v7;s34v7c4;14 Dec Tellicherry;1816;12.0;14.0;l30;False;l30;Tellicherry;calls;11.74811;75.4929;madras_presidency
597;s34;s34v7;s34v7c5;30 Dec Cochin;1816;12.0;30.0;l46;False;l46;Cochin;calls;9.93988;76.26022;madras_presidency
630;s35;s35v4;s35v4c4;19 Oct Madras;1782;10.0;19.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
634;s35;s35v4;s35v4c8;9 Jan 1784 Cochin;1784;1.0;9.0;l46;False;l46;Cochin;calls;9.93988;76.26022;madras_presidency
636;s35;s35v4;s35v4c10;9 Dec Anjengo;1784;12.0;9.0;l28;False;l28;Anjengo;calls;8.4833;76.9167;madras_presidency
645;s36;s36v1;s36v1c3;13 Jun Madras;1791;6.0;13.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
658;s36;s36v3;s36v3c3;11 Nov Madras;1796;11.0;11.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
659;s36;s36v3;s36v3c4;28 Nov Colombo;1796;11.0;28.0;l58;False;l58;Colombo;calls;6.5604;79.5034;madras_presidency
667;s36;s36v4;s36v4c2;31 Jul Madras;1799;7.0;31.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
702;s36;s36v8;s36v8c3;7 Jul Madras;1810;7.0;7.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
716;s38;s38v1;s38v1c4;12 Apr 1799 Madras;1799;4.0;12.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
