;location_id;count;location;category;lat;lon;region
149;l124;1;Balambangan;calls;7.1549;116.5321;southeast_asia
152;l1076;1;Surabaya;calls;-4.67122;105.72571;southeast_asia
168;l168;1;Kinsale;calls;51.7075;-8.53056;british_isles
172;l1054;1;Dover;calls;51.12598;1.31257;british_isles
173;l275;1;Pondicherry;calls;11.93381;79.82979;madras_presidency
177;l1069;1;Bandar;calls;2.05;99.75;southeast_asia
179;l960;1;Tristan da Cunha;calls;-37.7;-12.18;atlantic
191;l1374;1;Norfolk Island;calls;-29.02;167.57;indian_ocean
199;l1385;1;Toun;calls;46.75118;7.62166;atlantic
215;l64;1;Sulu;calls;6.05222;121.00222;southeast_asia
216;l79;1;Bandar Abbas;calls;27.1865;56.2808;indian_ocean
224;l461;1;Jiddah;calls;21.49012;39.18624;indian_ocean
228;l589;1;Tahiti;calls;-17.4;-149.25;indian_ocean
234;l1035;1;Scilly;calls;49.55;-6.2;british_isles
248;l460;1;Rangoon;calls;16.80528;96.15611;southeast_asia
257;l75;1;Fort St David;calls;11.75;79.75;madras_presidency
267;l491;1;Deal;calls;51.22316;1.4028;british_isles
268;l503;1;Howrah;calls;-42.88728;147.40554;indian_ocean
269;l499;1;Thames;calls;-37.13832;175.54011;indian_ocean
278;l361;1;moon;calls;58.60194;23.24694;indian_ocean
280;l224;1;Waterford;calls;52.25833;-7.11194;british_isles
281;l3;1;Narsipur;calls;12.21;76.906;madras_presidency
283;l17;1;Kowloon;calls;22.31667;114.18333;china
286;l109;1;West India Dock;calls;51.50347;-0.01722;british_isles
288;l128;1;Fulta;calls;19.1629;84.4843;madras_presidency
289;l142;1;Yarmouth;calls;50.70529;-1.49929;british_isles
295;l360;1;Sing;calls;14.88786;100.40464;southeast_asia
301;l326;1;Benguela;calls;-12.57626;13.40547;atlantic
308;l358;1;Toon;calls;33.79427;132.89011;indian_ocean
322;l876;1;Dublin;calls;53.33306;-6.24889;british_isles
323;l879;1;Bassein;calls;16.77919;94.73212;bengal_presidency
333;l133;1;Lizard;calls;49.9588;-5.2076;british_isles
334;l920;1;Hobart;calls;44.49925;-88.14986;atlantic
360;l677;1;Liverpool;calls;53.41058;-2.97794;british_isles
