;location_id;count;location;category;lat;lon;region
106;l641;9;Shannon;calls;52.70389;-8.86417;british_isles
107;l298;9;Tranquebar;calls;11.02764;79.85425;madras_presidency
109;l447;8;Delagoa Bay;calls;-25.59;32.42;indian_ocean
110;l65;8;Sulu;calls;6.05222;121.00222;southeast_asia
114;l541;8;Limerick;calls;52.66472;-8.62306;british_isles
115;l47;8;Reunion;calls;-21.0652;55.3157;indian_ocean
116;l144;7;Yarmouth;calls;50.70529;-1.49929;british_isles
117;l117;7;Port Jackson;calls;-33.513;151.14;indian_ocean
118;l173;7;Hugli;calls;21.9746;88.1305;bengal_presidency
119;l703;7;Bushire;calls;28.96887;50.83657;indian_ocean
121;l194;7;Nicobars;calls;7.05;93.48;southeast_asia
124;l324;7;Bourbon;calls;-21.0652;55.3157;indian_ocean
126;l54;7;Lintin;calls;22.2446;113.4813;china
127;l102;7;Barbados;calls;13.1012;-59.3309;atlantic
133;l216;6;Mahe;calls;11.70172;75.53474;madras_presidency
135;l143;6;Coringa;calls;16.48;82.14;madras_presidency
136;l585;6;Madura;calls;9.919;78.11953;madras_presidency
140;l99;5;Ganjam;calls;19.38705;85.05079;bengal_presidency
142;l526;5;Simon's Bay;calls;-34.1806;18.4326;atlantic
143;l127;5;North;calls;51.1241;1.3901;british_isles
144;l524;5;Diamond Creek;calls;-37.66667;145.15;indian_ocean
145;l223;5;Santa Cruz;calls;15.30815;120.85318;southeast_asia
147;l204;5;Socotra;calls;12.3036;53.5512;indian_ocean
150;l382;5;Negrais;calls;16.2;94.12;bengal_presidency
154;l395;4;Semarang;calls;-6.99306;110.42083;southeast_asia
155;l543;4;Milford Haven;calls;51.71278;-5.0341;british_isles
156;l679;4;Pernambuco;calls;-8.05389;-34.88111;atlantic
160;l1211;4;Isle of Wight;calls;50.4;-1.16;british_isles
161;l467;4;Jiddah;calls;21.49012;39.18624;indian_ocean
166;l523;4;Annabon;calls;-1.2606;5.3815;atlantic
167;l515;3;China;calls;22.449;113.915;china
169;l492;3;Gibraltar;calls;36.14474;-5.35257;atlantic
176;l130;3;Fulta;calls;19.1629;84.4843;madras_presidency
179;l478;3;Trinidade;calls;-20.313;-29.193;atlantic
181;l1053;3;Scilly;calls;49.55;-6.2;british_isles
182;l220;3;River Thames;calls;51.4959;0.514031;british_isles
184;l775;3;Bristol;calls;51.45523;-2.59665;british_isles
185;l135;3;Lizard;calls;49.9588;-5.2076;british_isles
186;l48;3;Nore;calls;45.24159;7.56983;atlantic
188;l916;3;Anger;calls;-6.04;105.53;southeast_asia
189;l1207;3;Teignmouth;calls;50.54581;-3.49671;british_isles
191;l740;3;Samarang;calls;-6.99306;110.42083;southeast_asia
194;l132;3;Cadiz;calls;36.52672;-6.2891;atlantic
197;l459;2;Persian Gulf;calls;26.7;52.0;indian_ocean
202;l1331;2;Genoa;calls;44.244;8.5558;atlantic
204;l137;2;Fernando de Noronha;calls;-3.5118;-32.253;atlantic
205;l1192;2;Batticaloa;calls;7.7102;81.6924;madras_presidency
208;l409;2;Port Louis;calls;-20.16194;57.49889;indian_ocean
217;l43;2;Colaba;calls;18.91;72.81;bombay_presidency
219;l596;2;Matavai;calls;-14.03208;-171.64768;indian_ocean
222;l597;2;Tonga;calls;4.96667;10.7;atlantic
226;l203;2;Aden;calls;12.77944;45.03667;indian_ocean
228;l411;2;Pulo Condore;calls;8.68641;106.60824;southeast_asia
230;l348;2;Martinique;calls;14.39;-61.0054;atlantic
233;l267;2;Jeddah;calls;21.49012;39.18624;indian_ocean
234;l873;2;Lombok;calls;-8.565;116.351;southeast_asia
236;l345;2;Achen;calls;5.3325;95.1934;southeast_asia
238;l1087;2;Sao Thome;calls;0.33654;6.72732;atlantic
239;l340;2;Laye;calls;12.53118;-1.77684;atlantic
240;l106;2;Blackwall;calls;51.50971;-0.0016;british_isles
241;l113;2;Cape Coast Castle;calls;5.10535;-1.2466;atlantic
242;l325;2;Portland;calls;50.56748;-2.44472;british_isles
251;l355;2;Mahim;calls;19.035;72.84;bombay_presidency
256;l212;2;Qishm;calls;26.9492;56.2691;indian_ocean
258;l836;2;Maldives;calls;4.18;73.51;indian_ocean
260;l926;2;Manila Bay;calls;14.31;120.46;southeast_asia
277;l1198;1;All Saints' Bay, Brazil;calls;-12.51;-38.38;atlantic
290;l567;1;Sura;calls;53.88786;45.74192;indian_ocean
297;l1051;1;Boeton;calls;-5.4633;122.6024;southeast_asia
298;l1195;1;Porto Novo;calls;17.01969;-25.06471;atlantic
305;l1069;1;Luanda;calls;0.31354;34.07146;indian_ocean
312;l1101;1;Bab el Mandeb;calls;12.35;43.2;indian_ocean
343;l200;1;Comoros;calls;-12.3;43.7;indian_ocean
355;l1091;1;Southampton;calls;50.90395;-1.40428;british_isles
357;l689;1;Liverpool;calls;53.41058;-2.97794;british_isles
358;l1200;1;Natal;calls;0.5632;99.1099;southeast_asia
360;l226;1;Waterford;calls;52.25833;-7.11194;british_isles
373;l1436;1;Sao Paulo;calls;-23.5475;-46.63611;atlantic
384;l1379;1;Cape Verde;calls;15.55;-23.55;atlantic
391;l1397;1;Port Cornwallis;calls;13.17;93.05;southeast_asia
393;l466;1;Rangoon;calls;16.80528;96.15611;southeast_asia
394;l1401;1;Cape Augustine;calls;-8.1723;-35.0148;atlantic
401;l1486;1;Java;calls;-7.293;110.0016;southeast_asia
409;l930;1;Brazil;calls;-8.4544;-35.0359;atlantic
426;l1460;1;London;calls;51.50853;-0.12574;british_isles
432;l476;1;Buton;calls;-5.4633;122.6024;southeast_asia
445;l119;1;Porto Praya;calls;14.918;-23.509;atlantic
452;l1228;1;Pearl River;calls;22.32;113.44;china
456;l1202;1;Bay of Bulls, Newfoundland;calls;47.299;-52.781;atlantic
458;l1204;1;Tynemouth;calls;55.01788;-1.42559;british_isles
461;l1208;1;Iceland;calls;64.1238;-21.9553;atlantic
465;l1213;1;Nootka Sound;calls;49.41;-126.33;atlantic
466;l1214;1;Queen Charlotte's Islands;calls;-11.0;166.15;indian_ocean
467;l1215;1;Sandwich Islands;calls;20.54;-156.36;indian_ocean
468;l1216;1;Montague Island;calls;-36.15;150.13;indian_ocean
471;l1264;1;gap;calls;44.55858;6.07868;atlantic
472;l1268;1;Krakatoa;calls;-6.0607;105.2523;southeast_asia
479;l1332;1;Leghorn;calls;43.54427;10.32615;atlantic
480;l1073;1;Dover;calls;51.12598;1.31257;british_isles
484;l1361;1;Dewas;calls;22.96585;76.05526;indian_ocean
486;l1363;1;Brest;calls;48.23;-4.29;british_isles
487;l1364;1;Trengganu;calls;5.3302;103.1408;southeast_asia
488;l893;1;Bassein;calls;16.77919;94.73212;bengal_presidency
491;l328;1;Benguela;calls;-12.57626;13.40547;atlantic
494;l733;1;Taiwan;calls;25.04;121.31;china
512;l426;1;Tuticorin;calls;8.76735;78.13425;madras_presidency
514;l480;1;Quedah;calls;6.0742;100.2146;southeast_asia
515;l477;1;Dartmouth;calls;50.3522;-3.5794;british_isles
516;l505;1;Thames;calls;-37.13832;175.54011;indian_ocean
529;l379;1;Tilbury;calls;51.46248;0.35856;british_isles
533;l13;1;Singapore;calls;1.28967;103.85007;southeast_asia
538;l422;1;Bristol Channel;calls;51.3777;-4.2291;british_isles
550;l606;1;Canton river;calls;22.476411;113.750545;china
558;l198;1;Maio;calls;15.13823;-23.21158;atlantic
560;l629;1;Londonderry;calls;54.5951;-7.1912;british_isles
564;l603;1;Bonavista;calls;16.6;-22.48;atlantic
567;l599;1;Tahiti;calls;-17.4;-149.25;indian_ocean
568;l598;1;Resolution Bay;calls;-41.0731;174.1332;indian_ocean
580;l192;1;Canaries;calls;13.90224;-61.06459;atlantic
584;l115;1;Ouidah;calls;6.36307;2.08506;atlantic
592;l178;1;Cagayan Sulu;calls;6.5841;118.3047;southeast_asia
595;l183;1;Gogha;calls;21.68;72.28;bombay_presidency
598;l114;1;Accra;calls;5.55602;-0.1969;atlantic
600;l372;1;Karrack;calls;29.1528;50.193;indian_ocean
601;l62;1;Cavite;calls;15.67785;120.76978;southeast_asia
604;l42;1;Khanderi;calls;18.7042;72.8131;bombay_presidency
612;l73;1;Belem;calls;-1.2721;-48.3014;atlantic
613;l74;1;Scarborough;calls;54.27966;-0.40443;british_isles
618;l224;1;Dungeness;calls;50.55;0.58;british_isles
630;l349;1;St Lucia;calls;-28.37622;32.41181;indian_ocean
631;l350;1;St Pierre;calls;46.77914;-56.1773;atlantic
638;l276;1;Reach;calls;43.91064;-69.8206;atlantic
641;l268;1;Newfoundland;calls;48.36;-56.2;atlantic
646;l249;1;Marga;calls;45.5;22.51667;indian_ocean
648;l237;1;Stokes Bay;calls;50.779;-1.164;british_isles
655;l269;1;Jask;calls;25.64533;57.77552;indian_ocean
662;l859;1;Table Bay;calls;-33.51;18.27;atlantic
669;l862;1;Port Dauphin;calls;-25.0157;46.59;indian_ocean
674;l813;1;los;calls;45.50719;105.75594;indian_ocean
683;l839;1;Gambia river;calls;13.28;-16.34;atlantic
687;l910;1;Tristan de Cunha;calls;-37.7;-12.18;atlantic
688;l911;1;St Paul's Island;calls;-38.43;77.31;indian_ocean
689;l912;1;Condore;calls;16.4108;80.3445;madras_presidency
691;l979;1;Great Nanka;calls;-2.25;105.48;southeast_asia
708;l968;1;Cascais;calls;38.69681;-9.42147;atlantic
712;l939;1;Hamburg;calls;53.33;10.0;atlantic
713;l938;1;New York;calls;42.55779;-88.86511;atlantic
729;l677;1;Banjarmasin;calls;-3.31987;114.59075;southeast_asia
737;l704;1;Bar;calls;49.07362;27.67404;indian_ocean
742;l798;1;Poole;calls;50.71429;-1.98458;british_isles
751;l667;1;Eddystone;calls;50.108;-4.159;british_isles
783;l754;1;Ganges;calls;22.42;89.4;bengal_presidency
785;l748;1;Clyde;calls;55.4046;-4.5816;british_isles
