;location_id;count;location;category;lat;lon;region
123;l145;11;Halifax;calls;53.71667;-1.85;british_isles
124;l248;11;Mozambique;calls;-15.03466;40.73447;indian_ocean
125;l141;11;Coringa;calls;16.48;82.14;madras_presidency
127;l201;11;Aden;calls;12.77944;45.03667;indian_ocean
128;l88;11;Hirado;calls;33.36853;129.55247;china
129;l130;11;Cadiz;calls;36.52672;-6.2891;atlantic
130;l392;10;Bahia;calls;-12.977;-38.5004;atlantic
132;l403;10;Port Louis;calls;-20.16194;57.49889;indian_ocean
133;l221;10;Santa Cruz;calls;15.30815;120.85318;southeast_asia
134;l142;10;Yarmouth;calls;50.70529;-1.49929;british_isles
135;l396;10;Coninga;calls;16.5758;82.1518;madras_presidency
136;l296;10;Tranquebar;calls;11.02764;79.85425;madras_presidency
138;l101;9;Barbados;calls;13.1012;-59.3309;atlantic
139;l727;9;Samarang;calls;-6.99306;110.42083;southeast_asia
140;l630;9;Shannon;calls;52.70389;-8.86417;british_isles
141;l98;9;Ganjam;calls;19.38705;85.05079;bengal_presidency
142;l64;9;Sulu;calls;6.05222;121.00222;southeast_asia
146;l47;8;Reunion;calls;-21.0652;55.3157;indian_ocean
147;l496;8;Macassar;calls;-5.14861;119.43194;southeast_asia
149;l535;8;Limerick;calls;52.66472;-8.62306;british_isles
150;l214;8;Mahe;calls;11.70172;75.53474;madras_presidency
151;l376;8;Tilbury;calls;51.46248;0.35856;british_isles
153;l691;8;Bushire;calls;28.96887;50.83657;indian_ocean
154;l441;8;Delagoa Bay;calls;-25.59;32.42;indian_ocean
155;l196;8;Maio;calls;15.13823;-23.21158;atlantic
159;l375;7;Milford Haven;calls;51.71278;-5.0341;british_isles
160;l322;7;Bourbon;calls;-21.0652;55.3157;indian_ocean
162;l355;7;Cowes;calls;50.76252;-1.29781;british_isles
164;l190;7;Canaries;calls;13.90224;-61.06459;atlantic
165;l901;7;Anger;calls;47.27422;15.69139;atlantic
166;l133;7;Lizard;calls;49.9588;-5.2076;british_isles
168;l219;7;Hong Kong;calls;22.27832;114.17469;china
169;l520;7;Simon's Bay;calls;-34.1806;18.4326;atlantic
173;l118;6;Rodrigues;calls;-19.43;63.25;indian_ocean
176;l575;6;Madura;calls;9.919;78.11953;madras_presidency
181;l381;6;Greenhithe;calls;51.45026;0.28539;british_isles
186;l81;6;Limehouse;calls;51.51412;-0.03282;british_isles
187;l218;5;River Thames;calls;51.4959;0.514031;british_isles
188;l1035;5;Scilly;calls;49.55;-6.2;british_isles
198;l518;5;Diamond Creek;calls;-37.66667;145.15;indian_ocean
202;l461;5;Jiddah;calls;21.49012;39.18624;indian_ocean
203;l1187;5;Isle of Wight;calls;50.4;-1.16;british_isles
204;l180;5;Banda;calls;-4.35;129.55;southeast_asia
205;l379;5;Negrais;calls;16.2;94.12;bengal_presidency
211;l834;4;Sydney;calls;-33.5204;151.12236;indian_ocean
213;l668;4;Pernambuco;calls;-8.05389;-34.88111;atlantic
215;l390;4;Semarang;calls;-6.99306;110.42083;southeast_asia
218;l163;4;Dabhol;calls;17.58971;73.18001;bombay_presidency
219;l471;4;Dartmouth;calls;50.3522;-3.5794;british_isles
221;l39;4;Nore;calls;45.24159;7.56983;atlantic
226;l509;4;China;calls;22.449;113.915;china
227;l128;4;Fulta;calls;19.1629;84.4843;madras_presidency
229;l135;4;Fernando de Noronha;calls;-3.5118;-32.253;atlantic
232;l746;4;Bangkok;calls;13.75398;100.50144;southeast_asia
233;l517;4;Annabon;calls;-1.2606;5.3815;atlantic
235;l763;4;Bristol;calls;51.45523;-2.59665;british_isles
242;l470;3;Buton;calls;-5.4633;122.6024;southeast_asia
245;l446;3;Tidore;calls;0.41;127.24;southeast_asia
248;l443;3;Red Sea;calls;20.4;38.3;indian_ocean
255;l323;3;Portland;calls;50.56748;-2.44472;british_isles
256;l542;3;Ratcliffe;calls;51.512054;-0.038946;british_isles
258;l747;3;Ayutthaya;calls;14.35167;100.57739;southeast_asia
262;l405;3;Pulo Condore;calls;8.68641;106.60824;southeast_asia
264;l720;3;Taiwan;calls;25.04;121.31;china
266;l486;3;Gibraltar;calls;36.14474;-5.35257;atlantic
269;l1183;3;Teignmouth;calls;50.54581;-3.49671;british_isles
270;l856;3;Sind;calls;46.58333;23.71667;indian_ocean
275;l87;3;Pattani;calls;6.86814;101.25009;southeast_asia
277;l116;3;Funchal;calls;32.66568;-16.92547;atlantic
278;l117;3;Porto Praya;calls;14.918;-23.509;atlantic
281;l1301;2;Genoa;calls;41.51811;-83.35909;atlantic
282;l420;2;Tuticorin;calls;8.76735;78.13425;madras_presidency
284;l960;2;Tristan da Cunha;calls;-37.7;-12.18;atlantic
290;l1054;2;Dover;calls;51.12598;1.31257;british_isles
292;l740;2;London;calls;51.50853;-0.12574;british_isles
294;l587;2;Tonga;calls;4.96667;10.7;atlantic
296;l589;2;Tahiti;calls;-17.4;-149.25;indian_ocean
298;l182;2;Linton;calls;51.92529;-2.49669;british_isles
302;l677;2;Liverpool;calls;53.41058;-2.97794;british_isles
